dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
alphafold,0.1,IID,None,1.7244812225580708,2.731018535470529,1.7184118234252284,2.7432849833649393
alphafold,0.2,IID,None,1.7244833223552503,2.7310200325654366,1.7150142598462366,2.7496892401892974
alphafold,0.3,IID,None,1.7244817306816298,2.7310151625341237,1.7196927843511507,2.738983756178848
alphafold,0.4,IID,None,1.7244807161435787,2.731011547497995,1.7224451181303337,2.742716613128391
alphafold,0.5,IID,None,1.7241941014664683,2.730407993495157,1.719797892895427,2.7310179240361645
alphafold,0.6,IID,None,1.7016916247837928,2.69173939346221,1.7006115980347336,2.6918443604848754
alphafold,0.7,IID,None,1.6797086482170822,2.6278163387455176,1.6824426846324998,2.640648218124699
alphafold,0.8,IID,None,1.7044156235601542,2.600423048418083,1.7534997926968845,2.6928571030735085
alphafold,0.9,IID,None,1.7365638487857809,2.493324883022761,1.78212863671396,2.5885431260897476
alphafold,1.0,IID,None,1.9173897391195618,2.464364911472255,1.968713155218393,2.5495233811010958
