dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
alphafold,0.5,0.1,Non-IID,1.0,1.8560209022430658,4.238109638877564,1.7861979651798503,4.125929969777422
alphafold,0.5,0.1,Non-IID,0.1,1.6065599116998086,3.7130444988480327,1.5505411246898373,3.5931670539161282
alphafold,0.5,0.1,Non-IID,0.01,1.8046078310744473,4.125796285354281,1.766485512188407,4.085034986684431
alphafold,0.5,0.2,Non-IID,1.0,1.8384777033752187,3.245300614078851,1.8483195870563363,3.258860393901976
alphafold,0.5,0.2,Non-IID,0.1,1.7657660329124836,3.124208758800316,1.7708664189657821,3.1246411844110966
alphafold,0.5,0.2,Non-IID,0.01,1.7496840222552317,3.096329538827941,1.7589619453278353,3.1154969077503063
alphafold,0.5,0.3,Non-IID,1.0,1.8160186193825838,2.8689829096098047,1.8199429529521551,2.8778749272393185
alphafold,0.5,0.3,Non-IID,0.1,1.8174719089552829,2.8707649238350683,1.8212069835304603,2.874919175484106
alphafold,0.5,0.3,Non-IID,0.01,1.7331844969394803,2.743643122957932,1.7387812958219735,2.758762083465179
alphafold,0.5,0.4,Non-IID,1.0,1.8131280903344367,2.710731682619055,1.806149380779654,2.6997459872761462
alphafold,0.5,0.4,Non-IID,0.1,1.9786918924111623,2.9470103631528204,1.9712025872980194,2.9341013130646574
alphafold,0.5,0.4,Non-IID,0.01,1.826479854382442,2.729345478033204,1.8206798245131028,2.722611937594956
alphafold,0.5,0.5,Non-IID,1.0,1.7733405963717415,2.5301870560220365,1.7727147574606286,2.5309316171088763
alphafold,0.5,0.5,Non-IID,0.1,1.8289069096556305,2.606240324798998,1.8297781137212406,2.60856734167042
alphafold,0.5,0.5,Non-IID,0.01,1.7625019967735265,2.5153588005608767,1.764517824068718,2.519432854682294
