dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
alphafold,0.1,Non-IID,1.0,1.934669067300283,3.0773123899976222,1.9073805325149615,3.134996727891996
alphafold,0.1,Non-IID,0.1,1.8301740932752473,2.893024079710352,1.7410513734314248,3.0013249293774122
alphafold,0.1,Non-IID,0.01,1.6813491586798712,2.6523067260143582,1.5731828886569414,2.7780694954478937
alphafold,0.2,Non-IID,1.0,1.9346692443438755,3.0773100612278528,1.9151166965372133,3.122424759884698
alphafold,0.2,Non-IID,0.1,1.8301739002599646,2.893021554518091,1.7613227990405598,2.962703905377326
alphafold,0.2,Non-IID,0.01,1.681350015334729,2.6523063461202563,1.5936943796219831,2.740314387006748
alphafold,0.3,Non-IID,1.0,1.9346713161469573,3.077312252655006,1.9168393252568376,3.1151197169657587
alphafold,0.3,Non-IID,0.1,1.8301745655337285,2.893020782809378,1.7706130628784558,2.9256103958050983
alphafold,0.3,Non-IID,0.01,1.6813512003819813,2.6523061952715636,1.6111190513166616,2.7098650768273504
alphafold,0.4,Non-IID,1.0,1.9346710654426102,3.077308709542703,1.9189651907542395,3.083341233001034
alphafold,0.4,Non-IID,0.1,1.8301737769599438,2.893016701303347,1.7870763143574384,2.8936996323484068
alphafold,0.4,Non-IID,0.01,1.6813531217258006,2.652307326882207,1.6388102253133863,2.6634716613379403
alphafold,0.5,Non-IID,1.0,1.9343289039153462,3.0765935200158645,1.897409831587996,3.019067191238871
alphafold,0.5,Non-IID,0.1,1.8277706475334012,2.8880359336316253,1.8060221677265786,2.8695767930226332
alphafold,0.5,Non-IID,0.01,1.6813576000183377,2.652313829207355,1.6593080457518383,2.623441202762086
alphafold,0.6,Non-IID,1.0,1.931193131447594,3.058259308429314,1.898370663204013,2.993674165687504
alphafold,0.6,Non-IID,0.1,1.8208576368088951,2.8696745929439844,1.828069021497386,2.850443389472332
alphafold,0.6,Non-IID,0.01,1.6887086074614506,2.661944862370112,1.667166574488432,2.5712042271474225
alphafold,0.7,Non-IID,1.0,1.952922715651015,3.0515084823157212,1.914951260341533,2.9825955655059366
alphafold,0.7,Non-IID,0.1,1.813672994919007,2.8198635439998823,1.8633779392544954,2.846788989958749
alphafold,0.7,Non-IID,0.01,1.6847316269848316,2.634180497412144,1.656559683069895,2.507818837502421
alphafold,0.8,Non-IID,1.0,1.9439457359947137,2.95508323630487,1.8567161483163874,2.819263137941653
alphafold,0.8,Non-IID,0.1,1.827264491505724,2.7882684197760703,1.9439595634942284,2.949069509756749
alphafold,0.8,Non-IID,0.01,1.660557630089303,2.5266112643278995,1.6515542198312816,2.4685802597824575
alphafold,0.9,Non-IID,1.0,1.9153037823054722,2.790293599868684,1.8354837011494913,2.750941143464902
alphafold,0.9,Non-IID,0.1,1.8065480451910583,2.63205450886666,1.9120654950566796,2.85726988230807
alphafold,0.9,Non-IID,0.01,1.6875088563280345,2.4631498384961916,1.7063428999952444,2.55004135528862
alphafold,1.0,Non-IID,1.0,1.9727777105600643,2.539557508535142,1.9596408651047525,2.566873307448309
alphafold,1.0,Non-IID,0.1,1.924962626079447,2.4814673431999417,1.8998382930568494,2.5578339761604414
alphafold,1.0,Non-IID,0.01,1.8073823126862985,2.317410872859579,1.8331730926515994,2.515607087903245
