dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
diabetes-bmi,0.1,IID,None,0.0004528608453331643,0.0009226526444061318,0.0004530548028887682,0.0009224885178903058
diabetes-bmi,0.2,IID,None,0.00045637158166968135,0.0009261627232277953,0.0004565626158266745,0.0009259957265735038
diabetes-bmi,0.3,IID,None,0.00048305236930531754,0.0009528424935186615,0.00048324749892031534,0.0009526797531270074
diabetes-bmi,0.4,IID,None,0.000502040399168493,0.0009718295482720072,0.0005022296810782258,0.0009716607416553941
diabetes-bmi,0.5,IID,None,0.0005080336387923366,0.0009777618095526425,0.0005083674710595401,0.0009774417294812511
diabetes-bmi,0.6,IID,None,0.00044790508524661474,0.0009156186887803547,0.0004486403686270109,0.0009149035171149258
diabetes-bmi,0.7,IID,None,0.0004023085642193209,0.0008634167653288757,0.00040410593753496403,0.000861642444376727
diabetes-bmi,0.8,IID,None,0.000411133388776615,0.0008582937161734562,0.00041510586117583825,0.0008543321924667882
diabetes-bmi,0.9,IID,None,0.00043195718539138395,0.0008405600170312393,0.0004419521766082957,0.0008305685634894676
diabetes-bmi,1.0,IID,None,0.0005473922349121109,0.0007705124474001741,0.0006461617092508689,0.0006717429730614163
