dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
diabetes-bmi,0.5,0.1,Non-IID,1.0,0.00030863013386109073,0.001092748568484204,0.0003226337876450792,0.001080055085228229
diabetes-bmi,0.5,0.1,Non-IID,0.1,0.00025930746182009406,0.001040791124366888,0.00030701998299437254,0.0009968783477859397
diabetes-bmi,0.5,0.1,Non-IID,0.01,0.0004733195345461042,0.0012551926595653377,0.000651866989043646,0.001078068524833681
diabetes-bmi,0.5,0.2,Non-IID,1.0,0.0003329811052050654,0.0008960315217708154,0.0003452832593613469,0.0008843422073182845
diabetes-bmi,0.5,0.2,Non-IID,0.1,0.00030294819210600416,0.0008707135006063324,0.0003364909399317861,0.0008388186806916216
diabetes-bmi,0.5,0.2,Non-IID,0.01,0.00042621437434838655,0.0009801266486840125,0.0005469597920546137,0.0008596866471013857
diabetes-bmi,0.5,0.3,Non-IID,1.0,0.0004043104290890313,0.0008620640692455999,0.00041414863754533806,0.0008524662452086244
diabetes-bmi,0.5,0.3,Non-IID,0.1,0.0004561653943796629,0.0009243949385819513,0.00048349955325898417,0.0008986160576670844
diabetes-bmi,0.5,0.3,Non-IID,0.01,0.00048024221606096835,0.0009338486722566367,0.0005766984283261414,0.0008380441632139171
diabetes-bmi,0.5,0.4,Non-IID,1.0,0.00047110160577584607,0.0008704276705334394,0.0004792075759178803,0.0008626519036526336
diabetes-bmi,0.5,0.4,Non-IID,0.1,0.0004387056891307498,0.0008421861030432963,0.0004604937831422703,0.0008213601008236125
diabetes-bmi,0.5,0.4,Non-IID,0.01,0.0004837711540210685,0.0008754969315110288,0.0005663712140267243,0.0007932607522564319
diabetes-bmi,0.5,0.5,Non-IID,1.0,0.0004934039486270206,0.0008488604218476609,0.0004999399167437779,0.0008423755740821408
diabetes-bmi,0.5,0.5,Non-IID,0.1,0.00047175365659590524,0.000831945715518717,0.0004901088169800704,0.0008141095204697241
diabetes-bmi,0.5,0.5,Non-IID,0.01,0.0004947909636953407,0.0008469662581300497,0.000570049535092167,0.00077212860496446
