dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
diabetes-bmi,0.1,Non-IID,1.0,0.00032935762088939357,0.0007871149123102856,0.00033915285869905496,0.0007778506857320448
diabetes-bmi,0.1,Non-IID,0.1,0.00041613735111256157,0.0008843696796662687,0.00044181817045003003,0.0008616233972063448
diabetes-bmi,0.1,Non-IID,0.01,0.0005182338562947626,0.0009718427477289017,0.0005456272321454721,0.000945731492534285
diabetes-bmi,0.2,Non-IID,1.0,0.0003871246014022212,0.0008448812378588678,0.00039689144296508087,0.0008355757574220933
diabetes-bmi,0.2,Non-IID,0.1,0.0004403482154437993,0.0009085804885067748,0.0004680816205100874,0.0008834087292065462
diabetes-bmi,0.2,Non-IID,0.01,0.0005077785839426741,0.0009613878472080253,0.0005429070544188227,0.0009273772993750811
diabetes-bmi,0.3,Non-IID,1.0,0.00039685793879038405,0.0008546136521201488,0.00040659509924089414,0.0008452665179714343
diabetes-bmi,0.3,Non-IID,0.1,0.00044304926589026385,0.000911280666388287,0.00047063995264525274,0.0008859262155563388
diabetes-bmi,0.3,Non-IID,0.01,0.0004845073782979357,0.0009381156960080264,0.000548991159985618,0.0008745892859038768
diabetes-bmi,0.4,Non-IID,1.0,0.0003673040055368449,0.0008250587222080669,0.00037702105598981343,0.0008156547638403346
diabetes-bmi,0.4,Non-IID,0.1,0.00046246640042710155,0.0009306968860619074,0.0004898904415409604,0.0009051384851207731
diabetes-bmi,0.4,Non-IID,0.01,0.0004637694521512982,0.0009173768376659447,0.0005568743842566446,0.0008250851335586884
diabetes-bmi,0.5,Non-IID,1.0,0.0004043104290890313,0.0008620640692455999,0.00041414863754533806,0.0008524662452086244
diabetes-bmi,0.5,Non-IID,0.1,0.0004561653943796629,0.0009243949385819513,0.00048349955325898417,0.0008986160576670844
diabetes-bmi,0.5,Non-IID,0.01,0.00048024221606096835,0.0009338486722566367,0.0005766984283261414,0.0008380441632139171
diabetes-bmi,0.6,Non-IID,1.0,0.00040365105493838277,0.0008599359874294765,0.0004140870553274393,0.0008496944214062669
diabetes-bmi,0.6,Non-IID,0.1,0.00040534688491291926,0.0008726552138481412,0.00043270404100452466,0.0008465165433359985
diabetes-bmi,0.6,Non-IID,0.01,0.00043600384334280506,0.0008885836555713067,0.0005334485555209216,0.0007916102596330475
diabetes-bmi,0.7,Non-IID,1.0,0.0004008891504295924,0.0008511954370420923,0.0004133881197753739,0.0008388713975526964
diabetes-bmi,0.7,Non-IID,0.1,0.00034809512495829174,0.0008093368583828169,0.0003769456157795971,0.0007814308742118959
diabetes-bmi,0.7,Non-IID,0.01,0.00038783746869570305,0.0008355878088687391,0.0004870339379465692,0.0007367598975334185
diabetes-bmi,0.8,Non-IID,1.0,0.0004226837208216274,0.0008589877808138807,0.00043857602308665437,0.0008432045359029385
diabetes-bmi,0.8,Non-IID,0.1,0.0003849358317036738,0.0008317460890579909,0.00041592282754334493,0.0008014228956076235
diabetes-bmi,0.8,Non-IID,0.01,0.000437693004254474,0.0008723179142888701,0.0005360639692354937,0.0007741439752324493
diabetes-bmi,0.9,Non-IID,1.0,0.00043899840230737477,0.0008392483466606541,0.0004568831166600289,0.0008214116892940536
diabetes-bmi,0.9,Non-IID,0.1,0.0003797780424441232,0.0007899786269938195,0.0004119863337602172,0.000758067742779478
diabetes-bmi,0.9,Non-IID,0.01,0.00046830543623147187,0.0008690869470277613,0.0005573437486570251,0.0007801725084221579
diabetes-bmi,1.0,Non-IID,1.0,0.0005480684682560416,0.0007698362140562458,0.0006072937005612924,0.0007106109817509947
diabetes-bmi,1.0,Non-IID,0.1,0.0005474940707837959,0.0007704106115284876,0.0005947881101108285,0.0007231165722014552
diabetes-bmi,1.0,Non-IID,0.01,0.000548263147106639,0.0007696415352056476,0.000606271242485681,0.0007116334398266059
