dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
diabetes-hypertension,0.1,IID,None,0.12350754324622065,0.18815798066672557,0.10168480827560678,0.168432792897232
diabetes-hypertension,0.2,IID,None,0.12348529389113669,0.1881342597714923,0.10103207874747817,0.16778168583120429
diabetes-hypertension,0.3,IID,None,0.12348534771133736,0.18813420595129166,0.11188018401097533,0.17863164290982642
diabetes-hypertension,0.4,IID,None,0.12348540920283266,0.18813414445979634,0.13504304919397753,0.20163305241790153
diabetes-hypertension,0.5,IID,None,0.12457765809100967,0.18825227140679335,0.13152091152166556,0.19635935637528168
diabetes-hypertension,0.6,IID,None,0.1257083383502783,0.18648780141606394,0.1266543598927092,0.18743042683603864
diabetes-hypertension,0.7,IID,None,0.1284390437678144,0.1851672995398011,0.13203833306992835,0.1870976189896888
diabetes-hypertension,0.8,IID,None,0.13066985883581161,0.18150718580477093,0.13674291970533767,0.18350270108697167
diabetes-hypertension,0.9,IID,None,0.13551441006669823,0.17813831856402612,0.14206438495937096,0.1760030981196859
diabetes-hypertension,1.0,IID,None,0.14820826439938473,0.17960728759687905,0.169181199381867,0.17264932436469116
