dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
diabetes-hypertension,0.5,0.1,Non-IID,1.0,0.039940018707394664,0.14265834467664076,0.06332198946829862,0.19128330539942898
diabetes-hypertension,0.5,0.1,Non-IID,0.1,0.10853329250830338,0.2203395877865982,0.06936818153688085,0.2093009460455611
diabetes-hypertension,0.5,0.1,Non-IID,0.01,0.09341590857109697,0.2015419274972821,-1.1491852989643836,1.4796881533474728
diabetes-hypertension,0.5,0.2,Non-IID,1.0,0.11125677163945248,0.18807587269086506,0.11944337501405192,0.20066006152968538
diabetes-hypertension,0.5,0.2,Non-IID,0.1,0.13049637257812127,0.2103064407401433,0.10823243505155003,0.20493979083925182
diabetes-hypertension,0.5,0.2,Non-IID,0.01,0.09305921089861284,0.16845726784130027,0.10108662207696635,0.20873863203626924
diabetes-hypertension,0.5,0.3,Non-IID,1.0,0.11919995340176866,0.18208081027455847,0.1297702440207105,0.1932131835021689
diabetes-hypertension,0.5,0.3,Non-IID,0.1,0.14558959901889146,0.21156333477634937,0.11328308713418847,0.1869593675183058
diabetes-hypertension,0.5,0.3,Non-IID,0.01,0.12734275063686173,0.19102293128353187,0.11963949878894882,0.19900248430900536
diabetes-hypertension,0.5,0.4,Non-IID,1.0,0.1392996106118646,0.19509712444184793,0.15271459434226625,0.2087979100017026
diabetes-hypertension,0.5,0.4,Non-IID,0.1,0.15044904714489185,0.2077132414831698,0.11494701459339382,0.1735880078407426
diabetes-hypertension,0.5,0.4,Non-IID,0.01,0.1208442849731462,0.17532646304962107,0.11693339629084296,0.17901749052223034
diabetes-hypertension,0.5,0.5,Non-IID,1.0,0.1282119255705941,0.1772966009642112,0.12504764325917772,0.1740779939460259
diabetes-hypertension,0.5,0.5,Non-IID,0.1,0.1430077654789713,0.1933888228549259,0.11236035051125375,0.16388155981309108
diabetes-hypertension,0.5,0.5,Non-IID,0.01,0.1315967099502481,0.18083166269804032,0.1364621641036874,0.1907844310239839
