dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
diabetes-hypertension,0.1,Non-IID,1.0,0.11808103389941339,0.18192625879069985,0.09123954312189539,0.15611572246155966
diabetes-hypertension,0.1,Non-IID,0.1,0.1465089307574966,0.21345398898219664,0.1534693103935225,0.22587736359764218
diabetes-hypertension,0.1,Non-IID,0.01,0.1267305226298088,0.1912700037583561,0.1088504888818233,0.19182144146405244
diabetes-hypertension,0.2,Non-IID,1.0,0.11807901744056643,0.1819240356531986,0.0896094479630668,0.1543424519883967
diabetes-hypertension,0.2,Non-IID,0.1,0.1465154702949435,0.2134617507805514,0.1418310711790761,0.21364512839499214
diabetes-hypertension,0.2,Non-IID,0.01,0.12671692840826965,0.19125596759059776,0.1126526583974293,0.20117792920816022
diabetes-hypertension,0.3,Non-IID,1.0,0.11807906851527863,0.18192398457848638,0.09650562709207387,0.16173253736330928
diabetes-hypertension,0.3,Non-IID,0.1,0.14651552139528637,0.21346169968020853,0.12973608368420325,0.20139622854599265
diabetes-hypertension,0.3,Non-IID,0.01,0.12671697783351554,0.19125591816535187,0.11667346953195425,0.2002689006656203
diabetes-hypertension,0.4,Non-IID,1.0,0.11807912650778568,0.18192392658597933,0.11328539475154592,0.1780142849318458
diabetes-hypertension,0.4,Non-IID,0.1,0.14651557389619504,0.21346164717929986,0.11750601649144232,0.18919372685271868
diabetes-hypertension,0.4,Non-IID,0.01,0.1267170348612794,0.19125586113758802,0.125404619533944,0.2085222574040415
diabetes-hypertension,0.5,Non-IID,1.0,0.11919995340176866,0.18208081027455847,0.1297702440207105,0.1932131835021689
diabetes-hypertension,0.5,Non-IID,0.1,0.14558959901889146,0.21156333477634937,0.11328308713418847,0.1869593675183058
diabetes-hypertension,0.5,Non-IID,0.01,0.12734275063686173,0.19102293128353187,0.11963949878894882,0.19900248430900536
diabetes-hypertension,0.6,Non-IID,1.0,0.12327330254756921,0.1834074663002598,0.13721206538720332,0.19679003801250172
diabetes-hypertension,0.6,Non-IID,0.1,0.143411462343169,0.20646061287640768,0.10440558310092266,0.1694243924181729
diabetes-hypertension,0.6,Non-IID,0.01,0.13129046639823602,0.1923904484356305,0.1372312324103387,0.20977389682376008
diabetes-hypertension,0.7,Non-IID,1.0,0.12787171490329854,0.18381097105444985,0.14491186280196072,0.19871089777282425
diabetes-hypertension,0.7,Non-IID,0.1,0.13990597851604705,0.1983651514402239,0.10879675651535592,0.16888630753635092
diabetes-hypertension,0.7,Non-IID,0.01,0.13880991204038437,0.19612303856763028,0.15767976227187586,0.22384838243072658
diabetes-hypertension,0.8,Non-IID,1.0,0.13098036534223695,0.18116518951032418,0.14436160662949873,0.18996937082990037
diabetes-hypertension,0.8,Non-IID,0.1,0.13892041568367916,0.19107284728772364,0.1135586335307874,0.16298848627253068
diabetes-hypertension,0.8,Non-IID,0.01,0.146819454025901,0.19836780815148505,0.17050646582396645,0.22454963046107757
diabetes-hypertension,0.9,Non-IID,1.0,0.1360330689921641,0.17829336920710448,0.14949593590529275,0.18259241003386756
diabetes-hypertension,0.9,Non-IID,0.1,0.14210132030777772,0.1853660482872173,0.12681600356011183,0.16156619167073047
diabetes-hypertension,0.9,Non-IID,0.01,0.1503744313444935,0.19328732467075463,0.16927019024915496,0.2070107315718701
diabetes-hypertension,1.0,Non-IID,1.0,0.14645235589464212,0.17779554755746624,0.1720174705122945,0.17466567216926843
diabetes-hypertension,1.0,Non-IID,0.1,0.1538007858746851,0.18545109292149897,0.1582192287862244,0.16282529431769222
diabetes-hypertension,1.0,Non-IID,0.01,0.14943550693055918,0.18079922545849442,0.16441142148216434,0.1746472779342165
