dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
salary,0.5,0.1,Non-IID,1.0,96.00800160032007,107.45809161832366,96.00800160032007,107.45809161832366
salary,0.5,0.1,Non-IID,0.1,90.61972394478896,100.09731946389279,92.01490298059612,100.09731946389279
salary,0.5,0.1,Non-IID,0.01,91.29325865173035,100.09731946389279,92.54410882176435,100.09731946389279
salary,0.5,0.2,Non-IID,1.0,95.04580916183237,102.45469093818764,95.04580916183237,102.45469093818764
salary,0.5,0.2,Non-IID,0.1,90.04240848169634,99.95299059811963,90.5235047009402,99.95299059811963
salary,0.5,0.2,Non-IID,0.01,90.5235047009402,100.48219643928786,90.5235047009402,100.48219643928786
salary,0.5,0.3,Non-IID,1.0,95.04580916183237,101.97359471894379,95.04580916183237,101.97359471894379
salary,0.5,0.3,Non-IID,0.1,92.01490298059612,100.28975795159032,92.01490298059612,100.09731946389279
salary,0.5,0.3,Non-IID,0.01,92.01490298059612,100.48219643928786,92.49599919983997,100.48219643928786
salary,0.5,0.4,Non-IID,1.0,95.04580916183237,100.96329265853171,95.04580916183237,100.96329265853171
salary,0.5,0.4,Non-IID,0.1,93.3619723944789,100.09731946389279,93.50630126025206,100.09731946389279
salary,0.5,0.4,Non-IID,0.01,92.49599919983997,100.48219643928786,92.54410882176435,100.28975795159032
salary,0.5,0.5,Non-IID,1.0,95.04580916183237,100.86707341468293,95.04580916183237,100.86707341468293
salary,0.5,0.5,Non-IID,0.1,93.50630126025206,100.28975795159032,93.50630126025206,100.28975795159032
salary,0.5,0.5,Non-IID,0.01,93.50630126025206,100.28975795159032,93.50630126025206,100.28975795159032
