dataset,target_accuracy,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
salary,0.1,Non-IID,1.0,94.51660332066413,101.97359471894379,94.51660332066413,101.97359471894379
salary,0.1,Non-IID,0.1,92.0396079215843,100.98019603920784,92.01490298059612,100.96329265853171
salary,0.1,Non-IID,0.01,91.82246449289859,100.48219643928786,92.1111222244449,100.48219643928786
salary,0.2,Non-IID,1.0,94.51660332066413,101.97359471894379,94.51660332066413,101.97359471894379
salary,0.2,Non-IID,0.1,90.54170834166833,101.49509901980396,90.5235047009402,100.96329265853171
salary,0.2,Non-IID,0.01,92.01490298059612,100.86707341468293,92.01490298059612,100.86707341468293
salary,0.3,Non-IID,1.0,94.51660332066413,101.97359471894379,94.51660332066413,101.97359471894379
salary,0.3,Non-IID,0.1,92.0396079215843,100.98019603920784,92.01490298059612,100.96329265853171
salary,0.3,Non-IID,0.01,92.3997799559912,100.48219643928786,92.49599919983997,100.48219643928786
salary,0.4,Non-IID,1.0,95.04580916183237,101.97359471894379,95.04580916183237,101.97359471894379
salary,0.4,Non-IID,0.1,92.01490298059612,100.48219643928786,92.01490298059612,100.28975795159032
salary,0.4,Non-IID,0.01,92.1111222244449,100.48219643928786,92.49599919983997,100.48219643928786
salary,0.5,Non-IID,1.0,95.04580916183237,101.97359471894379,95.04580916183237,101.97359471894379
salary,0.5,Non-IID,0.1,92.01490298059612,100.28975795159032,92.01490298059612,100.09731946389279
salary,0.5,Non-IID,0.01,92.01490298059612,100.48219643928786,92.49599919983997,100.48219643928786
salary,0.6,Non-IID,1.0,95.04580916183237,101.97359471894379,95.04580916183237,101.97359471894379
salary,0.6,Non-IID,0.1,92.01490298059612,100.48219643928786,92.01490298059612,100.28975795159032
salary,0.6,Non-IID,0.01,92.54410882176435,99.95299059811963,92.54410882176435,99.95299059811963
salary,0.7,Non-IID,1.0,94.51660332066413,101.97359471894379,94.51660332066413,101.97359471894379
salary,0.7,Non-IID,0.1,93.50630126025206,100.09731946389279,93.50630126025206,100.09731946389279
salary,0.7,Non-IID,0.01,94.51660332066413,100.28975795159032,94.51660332066413,100.28975795159032
salary,0.8,Non-IID,1.0,94.51660332066413,100.48219643928786,94.51660332066413,100.48219643928786
salary,0.8,Non-IID,0.1,93.50630126025206,99.95299059811963,93.50630126025206,99.95299059811963
salary,0.8,Non-IID,0.01,94.0355071014203,100.09731946389279,94.0355071014203,100.09731946389279
salary,0.9,Non-IID,1.0,94.51660332066413,99.95299059811963,94.51660332066413,99.95299059811963
salary,0.9,Non-IID,0.1,93.50630126025206,99.95299059811963,93.50630126025206,99.95299059811963
salary,0.9,Non-IID,0.01,93.50630126025206,99.95299059811963,93.50630126025206,99.95299059811963
salary,1.0,Non-IID,1.0,94.51660332066413,99.95299059811963,94.51660332066413,99.95299059811963
salary,1.0,Non-IID,0.1,94.51660332066413,99.95299059811963,94.51660332066413,99.95299059811963
salary,1.0,Non-IID,0.01,94.51660332066413,99.95299059811963,94.51660332066413,99.95299059811963
