dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
stellar,0.5,0.1,Non-IID,1.0,0.9858587262808085,1.0070102403443633,1.0038192192707613,1.0243464281799148
stellar,0.5,0.1,Non-IID,0.1,0.9893912394041017,1.0105103230255306,0.9748570464071052,0.9947459844020347
stellar,0.5,0.1,Non-IID,0.01,0.9886079230454882,1.0097686721119,0.9931421666325042,1.0122016205378956
stellar,0.5,0.2,Non-IID,1.0,0.994340461260165,1.0093626296428808,1.0107432472651592,1.0253481186974245
stellar,0.5,0.2,Non-IID,0.1,0.9926055371853857,1.0075940223058368,0.9775125307004557,0.991655140631434
stellar,0.5,0.2,Non-IID,0.01,0.9922256776121877,1.0072264459365634,0.9957847221317327,1.0092640544657803
stellar,0.5,0.3,Non-IID,1.0,0.9943758607350326,1.0066562013540745,1.0117916532922246,1.0237356263645727
stellar,0.5,0.3,Non-IID,0.1,0.99502802895869,1.007273557557797,0.9801254670986379,0.9916593120984485
stellar,0.5,0.3,Non-IID,0.01,0.9931907603150243,1.005453037954208,0.9975938159378269,1.0085384638993071
stellar,0.5,0.4,Non-IID,1.0,0.9954931262633591,1.0061443860797508,1.013454537677407,1.0238306592824178
stellar,0.5,0.4,Non-IID,0.1,0.996393637773565,1.007026849644527,0.9808941503103042,0.9909456004387874
stellar,0.5,0.4,Non-IID,0.01,0.9943081813258453,1.004948512484069,0.9985666905786823,1.0080548822698516
stellar,0.5,0.5,Non-IID,1.0,0.9954220470884019,1.0049582386147422,1.014132754727531,1.023427356865304
stellar,0.5,0.5,Non-IID,0.1,0.9969082809732625,1.0064370962505704,0.9814756077953859,0.9904873028962449
stellar,0.5,0.5,Non-IID,0.01,0.9943984679500086,1.0039325026137058,0.9985733609191542,1.0070648163098321
