dataset,fixed_accuracy,labeled_ratio,distribution,alpha_dir,ppi_ci_lower,ppi_ci_upper,mean_cpp_lower,mean_cpp_upper
water_potability,0.5,0.1,Non-IID,1.0,0.31406031496252373,0.39769706276546113,0.28821981324381796,0.370220866876772
water_potability,0.5,0.1,Non-IID,0.1,0.3488894818315935,0.43212170648056003,0.3429468084910034,0.40923553051468425
water_potability,0.5,0.1,Non-IID,0.01,0.3578835424756306,0.44408058373288806,0.3649661336924095,0.4179671782631973
water_potability,0.5,0.2,Non-IID,1.0,0.3533738878327494,0.41575674624305686,0.3451217276114357,0.40495745687611756
water_potability,0.5,0.2,Non-IID,0.1,0.3578385582056164,0.4184700462148333,0.3619575208141372,0.4065191883558739
water_potability,0.5,0.2,Non-IID,0.01,0.3553375488352639,0.4167653072467027,0.36192251717728363,0.40008067593374896
water_potability,0.5,0.3,Non-IID,1.0,0.35496172269242143,0.4059147998203232,0.34588116791260753,0.3942481990965165
water_potability,0.5,0.3,Non-IID,0.1,0.36584069849136297,0.417081506609195,0.36842504650459346,0.405108782705254
water_potability,0.5,0.3,Non-IID,0.01,0.35387716912437484,0.4048962436909296,0.3517382623283148,0.38507265698273035
water_potability,0.5,0.4,Non-IID,1.0,0.36269679984513636,0.4078391610595208,0.3508441758056562,0.3941958159896225
water_potability,0.5,0.4,Non-IID,0.1,0.37223517169545234,0.41750504909697367,0.36844801680401734,0.4018278335260131
water_potability,0.5,0.4,Non-IID,0.01,0.3614515856718559,0.40603823166002834,0.357132849376328,0.38693694837939413
water_potability,0.5,0.5,Non-IID,1.0,0.36830420269678493,0.4091385013869286,0.35576165990027203,0.3947710222229101
water_potability,0.5,0.5,Non-IID,0.1,0.3754261922044757,0.4164076730348134,0.3727642046770398,0.4027122044410964
water_potability,0.5,0.5,Non-IID,0.01,0.3643840948719537,0.4049108481246088,0.35760200641774675,0.38422786387803054
